"2005",DATE
"2726",DATE
"Korte",LOCATION
"Quezon Boulevard",LOCATION
"State",LOCATION
"Towards a Strong Republic"",LOCATION
"AFP",PERSON
"Ang DOJ Secretary",PERSON
"Ang",PERSON
"Araw-araw",PERSON
"Arko",PERSON
"Armand Sanchez",PERSON
"Ayaw",PERSON
"Binigay ng DIYOS",PERSON
"Bong Pineda,",PERSON
"Buong",PERSON
"Church",PERSON
"DIYOS",PERSON
"Dagdag",PERSON
"Diyos",PERSON
"Executive Order",PERSON
"GMA Cares"",PERSON
"Gusto Kong",PERSON
"Gusto",PERSON
"Habang",PERSON
"Hayaan",PERSON
"Hindi",PERSON
"Iiling-iling",PERSON
"Ilang",PERSON
"Inulit ng DIYOS",PERSON
"Itatakas",PERSON
"Jose Pidal",PERSON
"Kathang-isip",PERSON
"Kesa",PERSON
"Kumuha",PERSON
"Kuwento",PERSON
"Lumalaki",PERSON
"Madam Senyora Donya Gloria",PERSON
"Magdalo",PERSON
"Malacañang",PERSON
"Mga",PERSON
"Mike Defensor",PERSON
"NBI at PNP",PERSON
"Nagalit",PERSON
"Nagkaroon",PERSON
"Napilitan",PERSON
"Nasaan",PERSON
"National Security Adviser",PERSON
"Ni",PERSON
"Noah",PERSON
"Okay",PERSON
"Pagkatapos",PERSON
"Para",PERSON
"Patawarin",PERSON
"Pero",PERSON
"Pilipinas",PERSON
"Pilipino",PERSON
"Pinakiusapan",PERSON
"Pinoy",PERSON
"Ride",PERSON
"Sundan",PERSON
"TAON",PERSON
"Typical Pinoy,",PERSON
"Vicky",PERSON
"Wala",PERSON
"Walang",PERSON
"dating Pangulong Erap",PERSON
